,Service,Type,Rating,Hires,Price,Zip Code
0,United sa construction inc,82,5,28,100/on-site,02903
1,Castro General Construction inc,82,4.5,87,,02903
2,Same Day Roofing,82,5,69,,02903
3,Lct construction services Inc,82,5,15,,02903
4,Sunrise Exterior Inc,82,5,25,,02903
5,Fix Air,82,5,635,185-$350,02903
6,Egama Roofing Corp,82,5,5,,02903
7,Earth Green x,82,5,92,"200-$1,000",02903
8,Couto Construction,82,5,,,02903
9,LC General Construction INC.,82,5,6,,02903
10,RIHI - The Home Improvement Specialist,82,4.5,33,,02903
11,Northeast Roofing Contractors LLC,82,5,4,,02903
12,PCS Painting & Construction Solutions,82,4.5,16,,02903
13,Harleys Construction and Restoration,82,4,3,,02903
14,Ace Contractor Inc,82,5,5,,02903
15,Quality General Construction Inc,82,5,,,02903
16,Cornerstone Bldg. Assoc.,82,5,19,,02903
17,rhinosite Home Improvements,82,5,2,,02903
18,GTCONSTRUCTIONSERVICE.CORP,82,4.5,68,,02903
19,GNC CONSTRUCTION Inc.,82,5,,,02903
20,Fjm construction inc,82,5,,,02903
21,GTconstructionservice,82,,,,02903
22,"Viking Roof Services, LLC",82,5,11,100/on-site,02903
