,Service,Type,Rating,Hires,Price,Zip Code
0,TutorWithTheBest,17,5,216,,28105
1,OmniBios Inc. DBA EpiStat-E Consulting,17,5,211,,28105
2,Hayes Accounting Solutions,17,5,38,,28105
3,"Collaborative Business Solutions, LLC",17,5,3,,28105
4,Blackburn Labs,17,5,,,28105
5,Muse Platforms - Web Development & Data Services,17,5,4,,28105
6,Nathaniel Jacobson CPAs,17,5,74,,28105
7,Ph.D- 20+ yr SAT/ACT/GRE experience,17,5,78,,28105
8,Statement & Purpose,17,5,31,,28105
9,Aaron J. Armstrong,17,5,2,,28105
10,Jeff Waters Consulting / Equalis LLC,17,5,20,,28105
11,Robert Paul Chase Consulting LLC,17,5,,,28105
12,Honest Modeling,17,5,,,28105
13,Project Consultants,17,5,,,28105
14,Simply Data Group,17,5,,,28105
15,Mike Powers,17,5,,,28105
16,InfoSuite Technologies,17,5,,,28105
17,Martin Geothermal LLC,17,5,,,28105
18,TallulahEnterprises,17,,,,28105
19,Edward Bailey - Polymath Performance,17,5,20,,28105
20,JN Dot Compliance Specialist,17,5,,,28105
21,Bill's Statistical Service,17,5,,,28105
22,Sauls Bookkeeping Services,17,,,,28105
23,MariAnne Torres Consultancy,17,5,,,28105
24,Priess King & Company,17,5,14,,28105
25,"Dr Ball Public Health Consulting, LLC",17,,,,28105
26,Ryan's Science & Math Tutoring,17,4.5,11,,28105
27,Advanced Practice Psychiatric Nurse (Nurse Prac...,17,,,,28105
28,blasecroc,17,5,,,28105
29,"Washington Accounting Services, Inc.",17,,,,28105
