,Service,Type,Rating,Hires,Price,Zip Code
0,Joe Kano (online lessons only),474,5,37,40,89701
1,OFF-C Music Academy,474,5,74,30,89701
2,Jacob Burton Studios,474,5,163,75,89701
3,Jack Ramsey,474,5,2,40,89701
4,Realize Studios / Realize Records,474,5,14,,89701
5,South Metro Guitar Lessons,474,5,6,30,89701
6,Jim Maguire Music,474,5,78,30,89701
7,Private Guitar Lessons,474,5,45,30,89701
8,Private Guitar Lessons for Adults & Children,474,5,12,35,89701
9,5 Star Tutoring - Ivy League Graduates,474,5,,,89701
10,Penny Lane Music Lessons (In-home/virtual lessons),474,5,40,35,89701
11,Clovis Guitar Lessons,474,5,2,49,89701
12,Stevie Matthews- Guitar Instructor,474,5,134,40,89701
13,Moon Spirit Lessons,474,5,,30,89701
14,Tim Fenton Music Lessons,474,5,,,89701
15,Jim Steed Music,474,5,59,,89701
16,Vocal Artist Coaching,474,5,16,100,89701
17,Aaron's Guitar Instruction,474,5,9,,89701
18,Sound Reason Music Studio,474,4.5,9,30,89701
19,Backer Guitar Studios,474,5,,25,89701
20,Josh Mundt,474,5,9,30,89701
21,Kenner Music,474,5,12,30,89701
22,Classical Flamenco & Latin Guitar Lessons,474,5,13,40,89701
23,Gil Clark,474,5,,30,89701
24,PVD Guitar,474,5,68,40,89701
25,"Lotus Guitar, the New Way to Play",474,5,5,35,89701
26,KP Guitar Lessons and Recording (Zoom),474,5,87,50,89701
27,Ross Sandlin,474,5,3,25,89701
28,Mike's Guitar Studio,474,5,22,35,89701
29,Buck's Guitar Lessons,474,5,11,25,89701
