,Service,Type,Rating,Hires,Price,Zip Code
0,"Dave Czarnecki, CFP®, CLU®, ChFC®, RICP®",340,5,221,,68102
1,Teresa Shaloo and Associates,340,5,17,,68102
2,Eliason Consulting Group,340,5,10,,68102
3,LinSystem Solution LLC,340,5,31,,68102
4,JP Advising,340,5,164,,68102
5,Kristian Ojonta-Financial Advisor,340,5,4,,68102
6,Adam - National Association Of Retirement Services,340,5,61,,68102
7,Planned Purpose Financials- Fiduciary Planner,340,5,,,68102
8,"Ekenna CFP®, AAMS® at Bay Street",340,5,11,,68102
9,Financial Services Professional,340,5,9,,68102
10,Success Wealth Management,340,5,3,,68102
11,Kevis Rosario - Notary and Financial Services,340,5,25,,68102
12,Immanuel & AnG's Financal Services LLC,340,5,6,,68102
13,FirstCorr Financial Services LLC,340,4.5,50,,68102
14,Mitchell Advisory Services,340,5,3,,68102
15,Woodson Wealth Management,340,5,7,,68102
16,Ricky Rakib,340,5,,,68102
17,JAH Financial Services,340,5,,,68102
18,"Fair Winds Tax and Financial, LLC",340,5,36,,68102
19,"Eddy Company, LLC",340,5,99,,68102
20,Functional Cents: Personal Financial Coaching,340,5,,,68102
21,LEE ENNIS TAX,340,4.5,46,,68102
22,"Stephens Tax Service, LLC, Mobile Notary",340,5,111,,68102
23,Janet Pineda,340,5,,,68102
24,"Myles McHenry, CRPC® - Finance",340,5,,,68102
25,Number Sense Accounting & Bookkeeping Services,340,5,12,,68102
26,"Kenneth P. Rapoport CPA, Ltd.",340,4.5,7,,68102
27,Cameron Folse - Northwestern Mutual,340,5,,,68102
28,"Jonathan Barrett CFP, CLU, ChFC, RICP, RPS",340,5,2,,68102
29,Yellow Rose Tax/Business Services,340,5,8,,68102
